feature_name,feature_type
player_rank,numeric
opponent_rank,numeric
rank_diff,numeric
player_rank_points,numeric
opponent_rank_points,numeric
rp_diff,numeric
best_of,numeric
r_bp_created_mean,numeric
r_bp_converted_mean,numeric
r_bp_faced_mean,numeric
r_bp_saved_mean,numeric
r_bp_conv_rate,numeric
r_bp_save_rate,numeric
r_win_rate,numeric
r_matches_played,numeric
opp_r_bp_created_mean,numeric
opp_r_bp_converted_mean,numeric
opp_r_bp_faced_mean,numeric
opp_r_bp_saved_mean,numeric
opp_r_bp_conv_rate,numeric
opp_r_bp_save_rate,numeric
opp_r_win_rate,numeric
opp_r_matches_played,numeric
opp_player_rank,numeric
opp_player_rank_points,numeric
surface,categorical
tourney_level,categorical
round,categorical
player_hand,categorical
opponent_hand,categorical
player_type,categorical
opponent_type,categorical
